日期,股票代码,名称,涨跌幅
2019/4/25,'000001,上证指数,-2.4296
2019/4/24,'000001,上证指数,0.0944
2019/4/23,'000001,上证指数,-0.5116
2019/4/22,'000001,上证指数,-1.7046
2019/4/19,'000001,上证指数,0.6337
2019/4/18,'000001,上证指数,-0.3958
2019/4/17,'000001,上证指数,0.2926
2019/4/16,'000001,上证指数,2.3857
2019/4/15,'000001,上证指数,-0.3399
2019/4/12,'000001,上证指数,-0.0419
2019/4/11,'000001,上证指数,-1.603
2019/4/10,'000001,上证指数,0.0699
2019/4/9,'000001,上证指数,-0.1586
2019/4/8,'000001,上证指数,-0.0542
2019/4/4,'000001,上证指数,0.9413
2019/4/3,'000001,上证指数,1.2425
2019/4/2,'000001,上证指数,0.2038
2019/4/1,'000001,上证指数,2.5755
2019/3/29,'000001,上证指数,3.1992
2019/3/28,'000001,上证指数,-0.9189
2019/3/27,'000001,上证指数,0.855
2019/3/26,'000001,上证指数,-1.5095
2019/3/25,'000001,上证指数,-1.9689
2019/3/22,'000001,上证指数,0.0869
2019/3/21,'000001,上证指数,0.3499
2019/3/20,'000001,上证指数,-0.0108
2019/3/19,'000001,上证指数,-0.1758
2019/3/18,'000001,上证指数,2.471
2019/3/15,'000001,上证指数,1.0388
2019/3/14,'000001,上证指数,-1.1981
2019/3/13,'000001,上证指数,-1.09
2019/3/12,'000001,上证指数,1.1006
2019/3/11,'000001,上证指数,1.9237
2019/3/8,'000001,上证指数,-4.3959
2019/3/7,'000001,上证指数,0.1392
2019/3/6,'000001,上证指数,1.5668
2019/3/5,'000001,上证指数,0.8809
2019/3/4,'000001,上证指数,1.1213
2019/3/1,'000001,上证指数,1.8039
2019/2/28,'000001,上证指数,-0.4357
2019/2/27,'000001,上证指数,0.4184
2019/2/26,'000001,上证指数,-0.6675
2019/2/25,'000001,上证指数,5.6007
2019/2/22,'000001,上证指数,1.9051
2019/2/21,'000001,上证指数,-0.3411
2019/2/20,'000001,上证指数,0.2022
2019/2/19,'000001,上证指数,0.0468
2019/2/18,'000001,上证指数,2.6831
2019/2/15,'000001,上证指数,-1.372
2019/2/14,'000001,上证指数,-0.0503
2019/2/13,'000001,上证指数,1.8404
2019/2/12,'000001,上证指数,0.6782
2019/2/11,'000001,上证指数,1.3621
2019/2/1,'000001,上证指数,1.3023
2019/1/31,'000001,上证指数,0.3493
2019/1/30,'000001,上证指数,-0.72
2019/1/29,'000001,上证指数,-0.1049
2019/1/28,'000001,上证指数,-0.1824
2019/1/25,'000001,上证指数,0.387
2019/1/24,'000001,上证指数,0.4142
2019/1/23,'000001,上证指数,0.0504
2019/1/22,'000001,上证指数,-1.18
2019/1/21,'000001,上证指数,0.5587
2019/1/18,'000001,上证指数,1.4208
2019/1/17,'000001,上证指数,-0.4196
2019/1/16,'000001,上证指数,0.003
2019/1/15,'000001,上证指数,1.3637
2019/1/14,'000001,上证指数,-0.7074
2019/1/11,'000001,上证指数,0.7389
2019/1/10,'000001,上证指数,-0.3634
2019/1/9,'000001,上证指数,0.7078
2019/1/8,'000001,上证指数,-0.2616
2019/1/7,'000001,上证指数,0.7245
2019/1/4,'000001,上证指数,2.0494
2019/1/3,'000001,上证指数,-0.0377
2019/1/2,'000001,上证指数,-1.147
2018/12/28,'000001,上证指数,0.4353
2018/12/27,'000001,上证指数,-0.6087
2018/12/26,'000001,上证指数,-0.2605
2018/12/25,'000001,上证指数,-0.878
2018/12/24,'000001,上证指数,0.4275
2018/12/21,'000001,上证指数,-0.7892
2018/12/20,'000001,上证指数,-0.5215
2018/12/19,'000001,上证指数,-1.0512
2018/12/18,'000001,上证指数,-0.8208
2018/12/17,'000001,上证指数,0.1632
2018/12/14,'000001,上证指数,-1.5303
2018/12/13,'000001,上证指数,1.2258
2018/12/12,'000001,上证指数,0.3109
2018/12/11,'000001,上证指数,0.3678
2018/12/10,'000001,上证指数,-0.8176
2018/12/7,'000001,上证指数,0.0271
2018/12/6,'000001,上证指数,-1.684
2018/12/5,'000001,上证指数,-0.6059
2018/12/4,'000001,上证指数,0.4204
2018/12/3,'000001,上证指数,2.5736
2018/11/30,'000001,上证指数,0.808
2018/11/29,'000001,上证指数,-1.3181
2018/11/28,'000001,上证指数,1.0509
2018/11/27,'000001,上证指数,-0.0439
2018/11/26,'000001,上证指数,-0.1424
2018/11/23,'000001,上证指数,-2.493
2018/11/22,'000001,上证指数,-0.229
2018/11/21,'000001,上证指数,0.2136
2018/11/20,'000001,上证指数,-2.1327
2018/11/19,'000001,上证指数,0.9108
2018/11/16,'000001,上证指数,0.41
2018/11/15,'000001,上证指数,1.3649
2018/11/14,'000001,上证指数,-0.8527
2018/11/13,'000001,上证指数,0.9261
2018/11/12,'000001,上证指数,1.2178
2018/11/9,'000001,上证指数,-1.3948
2018/11/8,'000001,上证指数,-0.2162
2018/11/7,'000001,上证指数,-0.6774
2018/11/6,'000001,上证指数,-0.2279
2018/11/5,'000001,上证指数,-0.4127
2018/11/2,'000001,上证指数,2.695
2018/11/1,'000001,上证指数,0.1327
2018/10/31,'000001,上证指数,1.3526
2018/10/30,'000001,上证指数,1.0206
2018/10/29,'000001,上证指数,-2.1834
2018/10/26,'000001,上证指数,-0.1902
2018/10/25,'000001,上证指数,0.0194
2018/10/24,'000001,上证指数,0.3264
2018/10/23,'000001,上证指数,-2.2619
2018/10/22,'000001,上证指数,4.0938
2018/10/19,'000001,上证指数,2.5759
2018/10/18,'000001,上证指数,-2.9355
